,sentence,sentiment,polarity
21838,"Like so many other reviewers on here, my memories of this show are universally warm. In fact, so fond are said cherished memories, that I recently purchased the DVD box set in order to revisit that happy and carefree period of childhood, whereby I used to sit utterly mesmerised, as I watched the ongoing quest of Monkey, Pigsy, Sandy, Tripitaka and later Yu Lung a horse/dragon/man (you'll really need to watch it to understand), when the much loved show initially aired on BBC 2 on Friday evenings, as I recall.<br /><br />Well, I'm pleased to say that even after all these years and now viewing this with adult i.e. more cynical(!) eyes, the show has lost none of its inimitable charm.<br /><br />Simply wonderful entertainment, from the magical characters and their comical interactions with one another to the perhaps not so special effects (which actually serve to heighten the fun) and of course, not forgetting the hugely memorable opening title sequence from the first season, the passing of time has not in any way, shape or form diminished any of Monkey's spellbinding charm.<br /><br />As Monkey himself would probably say, 'Oi! You there! Go out and grab yourself some nostalgic fun.'",10,1
3222,"I didn't like this movie for many reasons - VERY BORING! It was interesting how they thought what the future would look like in this, but seriously I was very bored watching this. There was hardly any action. Although the Classical orchestra soundtrack was very nice. The visuals were very creative. Whenever this movie pops on TV, I feel like changing the station instantly. Not because it is a bad movie, just because I know what I am in for when watching this - complete and total boredom. It is a movie I saw when I was young, but I never got into the science fiction thing... because it simply wasn't real. Just like this movie - very unrealistic. I never understood half the movie anyway.",2,0
24839,"Square really landed this one. They didn't try to please everyone and instead focused exclusively on Final Fantasy 7 fans. And boy, are those going to be happy fans when they see this movie! The story might not be all that interesting or credible but it ties in neatly with the story of the game and has several honest-to-god funny moments!! A total surprise there and a welcome one too<br /><br />There are lots of cameos and funny references to the game too. And most important of all: The fighting scenes rock so hard they could cut through diamond! They are truly the total awesomeness and would have made the movie worth it even if everything else sucked. I mean, they are some of the best ever created PERIOD.<br /><br />See this movie. Bye.<br /><br />PS: I know my review sounds like the ravings of a teenage girl. It was, like, totally what I intended.",10,1
6146,"Unbelievable. Great cast, fair acting, interesting plot.<br /><br />But this movie has such graphic cruelties that are not tense or giving thrills, just pure disturbing unruhe.<br /><br />*SPOILER*<br /><br />Everyone could see coming the freak returns to his habits. And that Robert Englund was acting (was he?) like an idiot; forbidding your daughter to sleep with a football player, but him trying to kill an idiot and liking kiddypr0n is alright?! <br /><br />The policeman who's daughter was kidnapped - anyone felt he was a cop and not an actor? Not me. This movie drags on and on with an ending that we see in other horror movies: if the returns were alright a part 2 could be made. Bad, really bad stuff. Might give creeps some inspiration...",2,0
4519,"Foolish hikers go camping in the Utah mountains only to run into a murderous, disfigured gypsy. <br /><br />The Prey is a pretty run of the mill slasher film, that mostly suffers from a lack of imagination. The victim characters are all-too-familiar idiot teens which means one doesn't really care about them, we just wonder when they will die! Not to mention it has one too many cheesy moments and is padded with endless, unnecessary nature footage. However it does have a few moments of interest to slasher fans, the occasional touch of spooky atmosphere, and a decent music score by Don Peake. Still, it's business as usual for dead-camper movies.<br /><br />There are much better films in this vein, but over all The Prey may be watchable enough for die-hard slasher fans. Although one might be more rewarded to watch Just Before Dawn (1981), Wrong Turn (2003), or even The Final Terror (1983) again.<br /><br />* 1/2 out of ****",3,0
19708,"I totally agree that the reenactments kill what could otherwise be a great show. I'll admit that I'd seen 1 or 2 episodes last season and was not clear at all that it was all reenacted. But when I caught one episode recently it suddenly jumped out at me BIG TIME and I lost interest immediately. Then I noticed the disclaimer at the start before an episode that followed. Has anyone followed the show closely enough to tell me, did they actually make the ""acting"" and reenacting parts more artificial on purpose, or did I just not notice before. I'm usually pretty good at sensing this stuff, but the recent episode was so obviously artificial I practically tripped over it. Now I have no interest whatsoever in watching and have given up entirely on it. It just doesn't have any real value if it's all scripted and acted. And at least lately, it seems VERY poorly scripted and acted. The comment above that says who cares if it's all reenactments, I do. Without visual truth, this is just a bunch of ""you know what happened, one time this guy"" heresay. It's info better read in a book.",2,0
8138,"What can you possibly say? This is the uncut hardcore, musical Alice! It works too with a large energetic cast seemingly enjoying themselves to the hilt and whilst one could wish for a re-mastered version, I guess we are lucky to even have this video transfer. Pretty much a delight throughout. There are a couple of slightly off moments but this could have been embarrassing all through and it certainly is not. It also could have been and today would have been too camp. No, a very fine effort that is amusing, tuneful and just sexy enough. Fine performances particularly the Kristine DeBell in the lead and was that an unaccredited Richard Prior as the prone Knight being vigorously (if discreetly) ridden?",8,1
14587,"Just watched it on the Hallmark Channel. I was surprised to John Denver! This movie was full of clichés, but that is to be expected (a made for TV Christmas movie- come on!) The acting is as good as any other '80's made for TV movie. The story is, as I said before, predictable and cliché, but still good. If you are looking for a campy Christmas movie, it will certainly scratch your itch.<br /><br />I was also pleased when I learned that it took place in Georgetown, Colorado. It is a real mountain town west of Denver. Very cool as this is my home region.<br /><br />I was never a big John Denver fan (I always found him to be pretty foney) but he was a decent actor. He is very good as the good old boy like he played in this film.<br /><br />If you get the chance to watch it, than do. I'm sure it will be on again in 2007.",8,1
8523,"Horrendous ""comedy"" in which a beautiful, crazy woman (Liv Tyler) ""comedically"" destroys the lives of three men (Matt Dillon, Paul Reiser and John Goodman). Dillon hires a hit man (Michael Douglas) to kill her. What is happening to comedy? The year 2001 has produced some of the worst comedies ever (Saving Silverman, Sugar and Spice, Freddy Got Fingered, Tomcats, etc etc). This is one of the worst. There's not one, repeat, not ONE funny moment in it. The jokes are either stupid, unfunny, smutty or real sick. Also there's a strong hatred of women in this garbage--the only main female character (Tyler) is constantly used as a sex object. Also extreme, bloody violence is thrown in at the end. The only bearable moments come from Reba McEntire as a psychiatrist and Andrew Dice Clay in two roles--both psychos. Dillon, Goodman and Reiser have hit an all-time career low with this--the only way to go is up. And poor Tyler! She quit doing intelligent, gutsy independent films for THIS? And DOUGLAS???? What was he on when he agreed to this? An utter piece of crap--to be avoided AT ALL COSTS!!!!!!!!!!",1,0
20492,"I'm sorry to see that it has been rated that low by many people. The series started off very good and after the first season it wasn't that good.<br /><br />People tend to forget the beginning of something and only look at the end. This is not good to do, you should look at the total, not the end result. It is sad that a lot of the ""usual"" characters died but, damn, we had a lot of nice NEW characters.<br /><br />Please do not attach yourself to a few characters but attach yourself to the series, the plot. Please do understand that I didn't like it when Boone died, when Augur died but well... it needs to be done. Can you imagine that everyone keeps living the whole series when they are in a lot of danger all the time? Come on, face it, if they didn't die they would be invincible. In this way you will always keep the tension, will he survive, will he die? I do realize that people attach their selves to characters, I do that too. My favorite character was Augur, the one who could get into every computer he wanted. He was the one who was mysterious, he could do things with the computer no one else could do.<br /><br />I wish to make one statement to all the people who vote negative, does a series which started so good deserve to have such low rating? Should we look at the final season instead of the total? Should we not see how good the series was when it started? Should we not see how much we enjoyed it?",10,1
